"","scores","predscores","tmhalfsc","opphalfsc","patt","ypa","comppct","int","ratt","ypr","sacks","sackyds","fum","fuml"
"2192",4.79583152331272,26.75,16,16,18,15.4444444444444,0.722222222222222,0,8,3,1,-10,0,0
"2193",6.557438524302,18.75,24,17,12,11.5833333333333,0.5,0,14,2.28571428571429,2,-14,0,0
"2194",5.8309518948453,26.75,20,35,23,11.2173913043478,0.608695652173913,1,7,5.85714285714286,1,-8,1,0
"2195",5.47722557505166,23.25,13,3,23,4.91304347826087,0.434782608695652,0,18,6.05555555555556,4,-34,0,0
"2196",5.29150262212918,26,14,0,20,8.6,0.75,1,15,2.8,3,-20,3,1
"2197",5.29150262212918,21.75,14,10,20,6.9,0.55,1,15,4.53333333333333,1,-7,0,0
"2198",5.56776436283002,25,17,14,22,10.6818181818182,0.772727272727273,2,17,3.88235294117647,4,-33,0,0
"2199",3.16227766016838,16,10,21,9,4.77777777777778,0.888888888888889,0,17,5.17647058823529,2,-10,0,0
"2200",0,21,0,20,15,7.13333333333333,0.6,1,9,1.55555555555556,1,-3,0,0
"2201",5.09901951359278,22.5,10,7,13,8.61538461538461,0.615384615384615,1,14,4.35714285714286,1,-8,0,0
"2202",4.58257569495584,28,7,27,27,6.59259259259259,0.592592592592593,1,10,2.2,1,-9,1,0
"2203",4.89897948556636,15.25,3,23,21,4.52380952380952,0.523809523809524,2,12,2.16666666666667,1,-6,3,1
"2204",3.74165738677394,22.25,0,42,23,6.30434782608696,0.521739130434783,1,11,3.18181818181818,3,-22,1,1
"2205",3.60555127546399,25.75,3,17,13,4.07692307692308,0.846153846153846,1,8,4.125,1,-10,1,1
"2206",6.40312423743285,32,20,10,32,6.53125,0.625,2,11,6.72727272727273,0,0,0,0
"2207",3,18.5,6,3,17,5.88235294117647,0.705882352941177,0,12,4.33333333333333,0,0,0,0
"2208",2.44948974278318,21.25,6,14,13,6.07692307692308,0.692307692307692,0,10,6,1,-2,0,0
"2209",3.60555127546399,22,10,14,11,3.54545454545455,0.727272727272727,0,11,8.09090909090909,1,-6,0,0
"2210",4.79583152331272,18.75,14,7,16,8.3125,0.625,1,25,4.36,0,0,1,0
"2211",6.48074069840786,28,14,10,19,4.42105263157895,0.526315789473684,2,16,8.9375,0,0,0,0
"2212",2.44948974278318,28,3,10,13,5.76923076923077,0.538461538461538,0,10,1.5,1,-1,1,1
"2213",2.64575131106459,29,7,13,25,7.68,0.6,0,5,2.6,0,0,0,0
"2214",5.19615242270663,19.75,13,7,10,9.6,0.5,0,11,3,1,-5,1,0
"2215",5.19615242270663,26.5,13,17,20,6.25,0.65,1,15,4.8,3,-11,0,0
"2216",4.47213595499958,24.75,3,14,18,2.66666666666667,0.444444444444444,0,18,4,0,0,1,0
"2217",6,20.5,21,17,14,8.71428571428571,0.785714285714286,0,14,6.5,0,0,3,0
"2218",4.69041575982343,20.75,9,3,18,8.38888888888889,0.888888888888889,0,18,3.77777777777778,0,0,1,0
"2219",3,20,6,24,20,7,0.4,0,15,4.06666666666667,3,-28,0,0
"2220",5.56776436283002,26.5,10,21,13,9.07692307692308,0.692307692307692,0,11,4.45454545454545,2,-14,1,1
"2221",1.73205080756888,17,3,9,18,4.72222222222222,0.5,1,13,3.07692307692308,2,-8,0,0
"2222",5.74456264653803,27,23,7,24,8.41666666666667,0.708333333333333,0,17,5.70588235294118,1,-7,1,0
"2223",4.35889894354067,19.75,13,0,14,11.6428571428571,0.642857142857143,0,13,3,2,-5,2,0
"2224",4.24264068711928,23.25,10,20,16,8,0.5,1,8,2.875,0,0,1,1
"2225",5.8309518948453,19.75,10,16,20,6.7,0.75,1,12,2.91666666666667,1,0,1,1
"2226",4.58257569495584,27.5,14,23,16,9.25,0.75,0,8,4.625,0,0,0,0
"2227",4.58257569495584,17.75,0,24,15,6.8,0.6,1,8,3,1,-11,0,0
"2228",5.3851648071345,24.25,20,7,20,6.8,0.65,0,21,4.85714285714286,0,0,0,0
"2229",3.60555127546399,19.5,6,28,18,4.27777777777778,0.444444444444444,0,21,4.80952380952381,2,-6,0,0
"2230",0,24.75,0,38,26,3.53846153846154,0.538461538461538,2,12,3.16666666666667,0,0,0,0
"2231",4,24,3,10,19,6.73684210526316,0.789473684210526,0,3,5,2,-18,0,0
"2232",6.40312423743285,26.75,14,7,21,5.85714285714286,0.80952380952381,0,16,4.0625,1,-2,0,0
"2233",3.74165738677394,21.75,14,6,13,8.38461538461539,0.923076923076923,0,7,14.1428571428571,1,-8,1,1
"2234",6.48074069840786,22.25,10,14,23,6.21739130434783,0.608695652173913,0,14,4.42857142857143,1,-4,0,0
"2235",4.12310562561766,19,3,14,18,4.44444444444444,0.722222222222222,0,12,5.16666666666667,3,-12,2,1
"2236",5.19615242270663,24.25,10,13,9,3,0.555555555555556,0,13,7.76923076923077,2,-4,0,0
"2237",5.29150262212918,21,7,10,18,7.33333333333333,0.777777777777778,1,12,5.08333333333333,0,0,0,0
"2238",3.60555127546399,24.25,10,10,16,6.3125,0.5625,1,11,5.81818181818182,2,-5,0,0
"2239",4.79583152331272,29,13,14,25,6.84,0.56,1,15,4,1,-7,1,1
"2240",6,24.75,23,0,30,7.53333333333333,0.666666666666667,0,12,2.66666666666667,0,0,0,0
"2241",4.89897948556636,23.5,6,0,14,10.4285714285714,0.714285714285714,0,13,4.84615384615385,3,-15,2,0
"2242",3.46410161513775,23.25,6,3,18,6.05555555555556,0.611111111111111,0,13,4.92307692307692,0,0,0,0
"2243",3.46410161513775,15.25,12,10,22,6.77272727272727,0.590909090909091,0,13,4.69230769230769,4,-32,0,0
"2244",4.12310562561766,19,10,9,10,6.8,0.6,0,10,9.5,1,-9,1,0
"2245",5.47722557505166,20.5,20,0,15,4.4,0.533333333333333,1,21,6.09523809523809,1,-9,1,0
"2246",3.74165738677394,17,14,10,20,9.45,0.75,2,11,3.54545454545455,2,-13,0,0
"2247",3.16227766016838,21,7,14,11,6.72727272727273,0.454545454545455,0,20,2.65,1,-5,1,1
"2248",3.60555127546399,15.25,3,10,24,3.375,0.5,0,10,5.7,1,-2,0,0
"2249",4.69041575982343,26.75,9,3,14,9.78571428571429,0.571428571428571,0,21,3.33333333333333,2,-7,2,0
"2250",2.64575131106459,14.25,7,3,8,11.125,0.625,0,19,5.47368421052632,3,-15,0,0
"2251",5.56776436283002,28.25,14,0,20,11.3,0.9,0,10,2.8,1,-9,2,1
"2252",3.60555127546399,17.5,10,7,16,8.875,0.6875,0,14,3.78571428571429,3,-16,0,0
"2253",4.89897948556636,29,14,10,23,7.47826086956522,0.739130434782609,0,19,5.36842105263158,3,-13,1,1
"2254",5.91607978309962,23,14,3,19,9.05263157894737,0.578947368421053,0,18,8.11111111111111,0,0,0,0
"2255",3.60555127546399,17,3,10,10,4.2,0.4,0,10,2.6,0,0,0,0
"2256",4.47213595499958,27.25,7,7,21,7.52380952380952,0.619047619047619,2,7,6,4,-14,1,0
"2257",2.64575131106459,25,0,28,18,5.5,0.666666666666667,0,5,1,0,0,0,0
"2258",5.91607978309962,19,18,7,10,11.8,0.7,0,18,3.72222222222222,1,-5,0,0
"2259",4.12310562561766,28.5,7,10,15,5.26666666666667,0.733333333333333,0,5,2,4,-36,0,0
"2260",3.46410161513775,23.5,6,10,21,8.71428571428571,0.761904761904762,0,9,1.55555555555556,3,-16,0,0
"2261",4.47213595499958,30.25,10,3,22,7.45454545454545,0.772727272727273,0,13,6.15384615384615,1,-8,1,1
"2262",5.29150262212918,25.5,6,20,15,5.86666666666667,0.6,1,11,3.36363636363636,0,0,0,0
"2263",5.8309518948453,22.75,24,3,12,7.25,0.666666666666667,0,19,6.57894736842105,0,0,0,0
"2264",3.74165738677394,16,6,20,10,3.4,0.4,0,9,3.11111111111111,2,-15,1,0
"2265",4.47213595499958,19,7,14,21,5.42857142857143,0.476190476190476,0,15,5.2,1,-6,1,0
"2266",2.64575131106459,19.5,7,16,7,13.2857142857143,0.571428571428571,1,16,5.125,3,-19,0,0
"2267",6.08276253029822,17,14,17,10,12.2,0.9,0,16,4.625,1,-6,1,1
"2268",3,20.25,3,3,19,4.47368421052632,0.736842105263158,0,12,3.66666666666667,1,-4,0,0
"2269",4.12310562561766,19.5,17,6,15,9.53333333333333,0.733333333333333,0,16,4.0625,1,-6,1,1
"2270",5.8309518948453,26.5,17,16,21,9.76190476190476,0.619047619047619,1,11,6.54545454545455,2,-11,0,0
"2271",4.12310562561766,15.75,17,13,26,10,0.615384615384615,1,16,4,1,-8,0,0
