"","X1","h_scores","h_predscore","h_hlfscore","a_hlfscore","h_airya","h_yaca","h_psd","h_patt","h_comppct","h_ratt","h_rushsd","h_ypr","h_int_pct","h_sack_pct","h_sack_yd_pct","h_fum_pct","ot","a_scores","a_predscore","a_airya","a_yaca","a_psd","a_patt","a_comppct","a_ratt","a_rushsd","a_ypr","a_int_pct","a_sack_pct","a_sack_yd_pct","a_fum_pct"
"11",11,33,23,20,14,4.61538461538461,1.92307692307692,11.4951680670136,13,0.461538461538462,20,6.77200118133481,6.8,0,0,0,0.0303030303030303,0,20,19,4.89473684210526,4.30769230769231,11.1121235567658,19,0.684210526315789,14,4.83239493588081,3.92857142857143,0.105263157894737,0.05,0,0.0294117647058824
"12",12,17,17.75,7,7,2.75,2.85,5.56776436283002,20,0.7,6,5.44671154612273,3,0,0,0,0,0,14,20.75,3.61111111111111,3.5,7.30564500777254,18,0.777777777777778,9,5.58658003998957,2.88888888888889,0.0555555555555556,0,0,0
"13",13,31,24.25,17,20,1.78947368421053,3.63157894736842,7.95047168412038,19,0.526315789473684,15,7.68721882954644,5.2,0.105263157894737,0,0,0.0294117647058824,0,33,21.25,6.66666666666667,1.52631578947368,9.79205277358436,18,0.611111111111111,11,4.09998992137443,1.09090909090909,0,0,0,0
"14",14,27,20.75,10,6,2.22222222222222,2.22222222222222,11.2529151411336,27,0.407407407407407,13,3.64715987419375,4.07692307692308,0,0,0,0.025,0,6,17.75,4,0.333333333333333,6.25374887567449,12,0.666666666666667,17,3.00518582928113,2.70588235294118,0,0,0,0.0344827586206897
"15",15,13,17.5,10,7,1.625,5.375,5.87839736284947,8,0.75,23,5.10087282645651,4.26086956521739,0.125,0,0,0,0,27,27.5,1.08333333333333,8.375,3.97928520513442,12,0.916666666666667,11,6.25623655784918,3.63636363636364,0,0.142857142857143,-0.714285714285714,0.04
"16",16,24,24.75,21,21,3.2,2.93333333333333,7.56637297521078,15,0.533333333333333,12,2.92498812913071,3.33333333333333,0,0.117647058823529,-1.17647058823529,0.0344827586206897,0,31,17.25,4.07142857142857,4.66666666666667,11.6794691660195,14,0.714285714285714,14,4.70182335452353,5.5,0.142857142857143,0.125,-1.0625,0.0333333333333333
"17",17,10,20.75,3,3,1.5,2.25,5.63782972135042,20,0.55,21,4.68315842024543,5.14285714285714,0,0,0,0,0,13,19.25,1.33333333333333,1.3,4.96655480858378,12,0.25,10,2.76405499221705,2.6,0,0.0769230769230769,-0.538461538461538,0
"18",18,22,21.75,13,17,4.36363636363636,4.54545454545455,16.8777114223802,22,0.636363636363636,12,3.82970843102535,5,0,0.0434782608695652,-0.260869565217391,0,0,48,24.25,7,3,7.130206431093,21,0.761904761904762,11,7.2294164916622,5.09090909090909,0.0476190476190476,0.0869565217391304,-0.739130434782609,0.0294117647058824
"19",19,26,21,16,21,5.57142857142857,6.57142857142857,22.6646751576104,21,0.571428571428571,11,3.52558535084824,2.54545454545455,0,0.0869565217391304,-0.652173913043478,0.0294117647058824,0,31,20,4.07142857142857,2.9047619047619,7.52063827078527,14,0.714285714285714,17,3.64610993348511,5,0,0,0,0.0645161290322581
"20",20,23,19.75,13,10,0.636363636363636,4.54545454545455,6.15115718331742,11,0.636363636363636,14,19.7122152121832,10,0,0.214285714285714,-0.928571428571429,0,0,10,18.75,3.05263157894737,3.63636363636364,7.27954226151549,19,0.578947368421053,16,3.8405728739343,3.5,0,0.05,-0.35,0
"21",21,31,23.75,24,24,2.8,6.25,16.0768418462707,20,0.8,10,16.5798069952578,10.9,0.05,0.0476190476190476,-0.333333333333333,0,0,34,16.75,5.95,5.25,17.5549854683192,20,0.65,13,3.31751671582274,2.38461538461538,0,0.0476190476190476,-0.333333333333333,0.0588235294117647
"22",22,9,23.5,6,7,2.79166666666667,3.375,4.5879068090894,24,0.625,12,5.28362249471579,5.5,0,0,0,0.0277777777777778,0,7,13.5,1.93333333333333,1.16666666666667,3.22645316098034,15,0.666666666666667,10,17.8370401132026,9.2,0,0.0625,-0.375,0.0769230769230769
"23",23,23,19,13,13,4.5,0.833333333333333,4.58257569495584,12,0.666666666666667,24,4.80451176846652,5.5,0,0.0769230769230769,-0.769230769230769,0,0,27,22,6.35714285714286,5.83333333333333,24.3352436115329,14,0.5,8,4.8589479313942,4.875,0.0714285714285714,0,0,0
"24",24,10,26,3,21,5.18181818181818,2,4.76923076923077,22,0.590909090909091,10,2.72946881279124,1.5,0.0454545454545455,0.0833333333333333,-0.5,0.0882352941176471,0,31,23,5.78260869565217,3.95454545454545,11.8242335903855,23,0.695652173913043,11,5.03541179059135,5.90909090909091,0.0434782608695652,0,0,0
